1e-14 1.01700161869e-18 -4.67438906864e-22 1.01653417978e-18 491.074353322 417537668.204
2e-14 1.01700161869e-18 -4.68295868962e-22 1.01653332282e-18 491.074353322 208768834.102
3e-14 1.01700161869e-18 -4.69483958545e-22 1.01653213473e-18 491.074353322 139179222.735
4e-14 1.01700161869e-18 -4.71005999649e-22 1.01653061269e-18 491.074353322 104384417.051
5e-14 1.01700161869e-18 -4.72865238955e-22 1.01652875345e-18 491.074353322 83507533.6409
6e-14 1.01700161869e-18 -4.75065321189e-22 1.01652655337e-18 491.074353322 69589611.3674
6.999999999999999e-14 1.01700161869e-18 -4.77610260913e-22 1.01652400843e-18 491.074353322 59648238.3149
7.999999999999999e-14 1.01700251711e-18 -4.80504410404e-22 1.0165220127e-18 491.074407549 52192208.5256
8.999999999999998e-14 1.01700475577e-18 -4.83752496801e-22 1.01652100327e-18 491.074569833 46393074.2449
9.999999999999998e-14 1.0170081744e-18 -4.87359489625e-22 1.01652081491e-18 491.074864735 41753766.8204
1.0999999999999997e-13 1.01701274685e-18 -4.91330616559e-22 1.01652141624e-18 491.075306734 37957969.8368
1.1999999999999997e-13 1.0170181347e-18 -4.9567125425e-22 1.01652246344e-18 491.075891866 34794805.6837
1.2999999999999998e-13 1.01702430886e-18 -5.00386902766e-22 1.01652392196e-18 491.076616308 32118282.1696
1.3999999999999998e-13 1.01703125289e-18 -5.05483124959e-22 1.01652576977e-18 491.07747676 29824119.1575
1.5e-13 1.01703896343e-18 -5.10965477916e-22 1.01652799795e-18 491.078470695 27835844.547
1.6e-13 1.0170472187e-18 -5.16839444377e-22 1.01653037926e-18 491.079589525 26096104.2628
1.7e-13 1.01705580106e-18 -5.23110321114e-22 1.01653269073e-18 491.080820499 24561039.3061
1.8000000000000002e-13 1.01706488644e-18 -5.29783166934e-22 1.01653510328e-18 491.082158421 23196537.1225
1.9000000000000002e-13 1.01707448357e-18 -5.36862748991e-22 1.01653762083e-18 491.08359941 21975666.7476
2.0000000000000003e-13 1.01708443245e-18 -5.44353385897e-22 1.01654007907e-18 491.085136499 20876883.4102
2.1000000000000004e-13 1.01709473916e-18 -5.52258881586e-22 1.01654248028e-18 491.086764186 19882746.105
2.2000000000000005e-13 1.01710540903e-18 -5.60582424786e-22 1.0165448266e-18 491.088478088 18978984.9184
2.3000000000000003e-13 1.01711644656e-18 -5.69326485678e-22 1.01654712008e-18 491.090274679 18153811.6611
2.4000000000000004e-13 1.01712785534e-18 -5.78492710848e-22 1.01654936263e-18 491.092151091 17397402.8419
2.5000000000000005e-13 1.0171397393e-18 -5.88081817852e-22 1.01655165748e-18 491.094106924 16701506.7282
2.6000000000000005e-13 1.01715209789e-18 -5.98093524951e-22 1.01655400437e-18 491.096141828 16059141.0848
2.7000000000000006e-13 1.01716482782e-18 -6.08526383759e-22 1.01655630144e-18 491.09825366 15464358.0816
2.8000000000000007e-13 1.01717792766e-18 -6.19377715e-22 1.01655854994e-18 491.100440555 14912059.5787
2.900000000000001e-13 1.0171913946e-18 -6.30643519493e-22 1.01656075108e-18 491.102700862 14397850.6277
3.000000000000001e-13 1.01720522435e-18 -6.42318398878e-22 1.01656290595e-18 491.105033078 13917922.2735
3.100000000000001e-13 1.01721941107e-18 -6.54395488712e-22 1.01656501559e-18 491.107435805 13468957.0389
3.200000000000001e-13 1.01723394737e-18 -6.66866406715e-22 1.01656708097e-18 491.109907707 13048052.1314
3.300000000000001e-13 1.01724882422e-18 -6.79721218995e-22 1.016569103e-18 491.112447479 12652656.6123
3.400000000000001e-13 1.01726403096e-18 -6.92948427125e-22 1.01657108254e-18 491.115053818 12280519.6531
3.500000000000001e-13 1.01727955536e-18 -7.06534978865e-22 1.01657302038e-18 491.1177254 11929647.663
3.6000000000000013e-13 1.01729538359e-18 -7.20466305196e-22 1.01657491729e-18 491.120460863 11598268.5612
3.7000000000000014e-13 1.01731150034e-18 -7.34726386071e-22 1.01657677395e-18 491.123258793 11284801.8434
3.8000000000000015e-13 1.01732797318e-18 -7.49297847029e-22 1.01657867533e-18 491.126118784 10987833.3738
3.9000000000000016e-13 1.01734478488e-18 -7.641621247e-22 1.01658062275e-18 491.129040257 10706094.0565
4.0000000000000016e-13 1.01736183283e-18 -7.79299558807e-22 1.01658253327e-18 491.132021452 10438441.7051
4.1000000000000017e-13 1.01737909706e-18 -7.9468962414e-22 1.01658440744e-18 491.135060548 10183845.566
4.200000000000002e-13 1.01739655695e-18 -8.10311162716e-22 1.01658624579e-18 491.138155657 9941373.05249
4.300000000000002e-13 1.01741419145e-18 -8.26142657156e-22 1.0165880488e-18 491.141304833 9710178.33034
4.400000000000002e-13 1.01743197945e-18 -8.42162505733e-22 1.01658981694e-18 491.144506073 9489492.45919
4.500000000000002e-13 1.01744990005e-18 -8.58349377378e-22 1.01659155067e-18 491.14775733 9278614.84899
4.600000000000002e-13 1.01746793295e-18 -8.74682550358e-22 1.0165932504e-18 491.151056521 9076905.83053
4.700000000000001e-13 1.01748605882e-18 -8.91142312387e-22 1.01659491651e-18 491.15440154 8883780.17456
4.800000000000001e-13 1.01750425973e-18 -9.07710342731e-22 1.01659654939e-18 491.15779028 8698701.42093
4.9e-13 1.01752251953e-18 -9.24370150615e-22 1.01659814938e-18 491.161220642 8521176.90213
5e-13 1.01754082432e-18 -9.41107497717e-22 1.01659971683e-18 491.164690565 8350753.36409
5.099999999999999e-13 1.01755916289e-18 -9.57910859145e-22 1.01660125203e-18 491.168198041 8187013.10205
