1e-15 8.36249954716e-10 3.34500045284e-10 0.0 5.44149072003e-28 -5.55936755853e-22 -5.55936211704e-22
2e-15 8.36249818863e-10 3.34500181137e-10 0.0 2.17660078431e-27 -5.55938388304e-22 -5.55936211703e-22
3.0000000000000002e-15 8.36249592442e-10 3.34500407558e-10 0.0 4.89736862588e-27 -5.5594110907e-22 -5.55936211702e-22
4e-15 8.36249275452e-10 3.34500724548e-10 0.0 8.70647507858e-27 -5.55944918175e-22 -5.559362117e-22
5.000000000000001e-15 8.36248867893e-10 3.34501132107e-10 0.0 1.36039516175e-26 -5.55949815649e-22 -5.55936211697e-22
6.000000000000001e-15 8.36248369762e-10 3.34501630238e-10 0.0 1.95898387116e-26 -5.55955801533e-22 -5.55936211694e-22
7.000000000000002e-15 8.36247781061e-10 3.34502218939e-10 0.0 2.66641858243e-26 -5.55962875876e-22 -5.5593621169e-22
8.000000000000002e-15 8.36247101786e-10 3.34502898214e-10 0.0 3.4827051414e-26 -5.55971038738e-22 -5.55936211686e-22
9.000000000000003e-15 8.36246331937e-10 3.34503668063e-10 0.0 4.40785029358e-26 -5.55980290184e-22 -5.55936211681e-22
1.0000000000000003e-14 8.36245471512e-10 3.34504528488e-10 0.0 5.44186168418e-26 -5.55990630293e-22 -5.55936211676e-22
1.1000000000000004e-14 8.3624452051e-10 3.3450547949e-10 0.0 6.5847478583e-26 -5.56002059149e-22 -5.5593621167e-22
1.2000000000000004e-14 8.36243478928e-10 3.34506521072e-10 0.0 7.83651826101e-26 -5.56014576846e-22 -5.55936211664e-22
1.3000000000000005e-14 8.36242346765e-10 3.34507653235e-10 0.0 9.19718323757e-26 -5.56028183489e-22 -5.55936211657e-22
1.4000000000000005e-14 8.36241124017e-10 3.34508875983e-10 0.0 1.06667540335e-25 -5.56042879189e-22 -5.55936211649e-22
1.5000000000000006e-14 8.36239810683e-10 3.34510189317e-10 0.0 1.2245242795e-25 -5.56058664069e-22 -5.55936211641e-22
1.6000000000000004e-14 8.3623840676e-10 3.3451159324e-10 0.0 1.39326625689e-25 -5.56075538258e-22 -5.55936211632e-22
1.7000000000000003e-14 8.36236912245e-10 3.34513087755e-10 0.0 1.57290273028e-25 -5.56093501896e-22 -5.55936211623e-22
1.8000000000000002e-14 8.36235327134e-10 3.34514672866e-10 0.0 1.76343518457e-25 -5.56112555132e-22 -5.55936211613e-22
1.9e-14 8.36233651425e-10 3.34516348575e-10 0.0 1.96486519479e-25 -5.56132698122e-22 -5.55936211603e-22
2e-14 8.36231885114e-10 3.34518114886e-10 0.0 2.17719442615e-25 -5.56153931034e-22 -5.55936211592e-22
2.1e-14 8.36230028197e-10 3.34519971803e-10 0.0 2.40042463402e-25 -5.56176254044e-22 -5.5593621158e-22
2.1999999999999998e-14 8.36228080671e-10 3.34521919329e-10 0.0 2.63455766405e-25 -5.56199667335e-22 -5.55936211568e-22
2.2999999999999997e-14 8.36226042531e-10 3.34523957469e-10 0.0 2.87959545208e-25 -5.56224171101e-22 -5.55936211555e-22
2.3999999999999996e-14 8.36223913773e-10 3.34526086227e-10 0.0 3.13554002429e-25 -5.56249765545e-22 -5.55936211542e-22
2.4999999999999994e-14 8.36221694394e-10 3.34528305606e-10 0.0 3.40239349715e-25 -5.56276450878e-22 -5.55936211528e-22
2.5999999999999993e-14 8.36219384387e-10 3.34530615613e-10 0.0 3.68015807749e-25 -5.56304227322e-22 -5.55936211514e-22
2.6999999999999992e-14 8.3621698375e-10 3.3453301625e-10 0.0 3.96883606254e-25 -5.56333095105e-22 -5.55936211499e-22
2.799999999999999e-14 8.36214492475e-10 3.34535507525e-10 0.0 4.26842983995e-25 -5.56363054468e-22 -5.55936211484e-22
2.899999999999999e-14 8.36211910559e-10 3.34538089441e-10 0.0 4.57894188784e-25 -5.56394105656e-22 -5.55936211468e-22
2.999999999999999e-14 8.36209237997e-10 3.34540762003e-10 0.0 4.90037477486e-25 -5.56426248928e-22 -5.55936211451e-22
3.0999999999999994e-14 8.36206474782e-10 3.34543525218e-10 0.0 5.23273116017e-25 -5.5645948455e-22 -5.55936211434e-22
3.1999999999999996e-14 8.36203620908e-10 3.34546379092e-10 0.0 5.57601379357e-25 -5.56493812795e-22 -5.55936211416e-22
3.3e-14 8.36200676371e-10 3.34549323629e-10 0.0 5.93022551548e-25 -5.56529233949e-22 -5.55936211398e-22
3.4e-14 8.36197641163e-10 3.34552358837e-10 0.0 6.295369257e-25 -5.56565748305e-22 -5.55936211379e-22
3.5e-14 8.36194515279e-10 3.34555484721e-10 0.0 6.67144804e-25 -5.56603356163e-22 -5.55936211359e-22
3.6000000000000004e-14 8.36191298712e-10 3.34558701288e-10 0.0 7.05846497711e-25 -5.56642057837e-22 -5.55936211339e-22
3.7000000000000006e-14 8.36187991456e-10 3.34562008544e-10 0.0 7.45642327181e-25 -5.56681853646e-22 -5.55936211319e-22
3.800000000000001e-14 8.36184593503e-10 3.34565406497e-10 0.0 7.86532621846e-25 -5.56722743919e-22 -5.55936211298e-22
3.900000000000001e-14 8.36181104847e-10 3.34568895153e-10 0.0 8.28517720239e-25 -5.56764728996e-22 -5.55936211276e-22
4.000000000000001e-14 8.3617752548e-10 3.3457247452e-10 0.0 8.71597969991e-25 -5.56807809224e-22 -5.55936211254e-22
4.1000000000000015e-14 8.36173855395e-10 3.34576144605e-10 0.0 9.15773727841e-25 -5.56851984959e-22 -5.55936211231e-22
4.2000000000000017e-14 8.36170094585e-10 3.34579905415e-10 0.0 9.61045359638e-25 -5.56897256567e-22 -5.55936211207e-22
