1e-14 1.01699882142e-18 -4.67176537446e-22 1.01653164488e-18 491.073002619
2e-14 1.01699882142e-18 -4.6771317924e-22 1.01653110824e-18 491.073002619
3e-14 1.01699882142e-18 -4.68527301205e-22 1.01653029412e-18 491.073002619
4e-14 1.01699882142e-18 -4.696264376e-22 1.01652919498e-18 491.073002619
5e-14 1.01699882142e-18 -4.71019012498e-22 1.0165278024e-18 491.073002619
6e-14 1.01699882142e-18 -4.72714385046e-22 1.01652610703e-18 491.073002619
6.999999999999999e-14 1.01699938972e-18 -4.74722901437e-22 1.01652466681e-18 491.073041821
7.999999999999999e-14 1.01700099875e-18 -4.77055994763e-22 1.01652394276e-18 491.07316834
8.999999999999998e-14 1.01700355049e-18 -4.79726220597e-22 1.01652382427e-18 491.07340365
9.999999999999998e-14 1.01700734771e-18 -4.82747340663e-22 1.01652460037e-18 491.073775252
1.0999999999999997e-13 1.01701205521e-18 -4.86134444875e-22 1.01652592076e-18 491.074285933
1.1999999999999997e-13 1.01701704184e-18 -4.89903955625e-22 1.01652713788e-18 491.074912157
1.2999999999999998e-13 1.01702285286e-18 -4.94073801237e-22 1.01652877906e-18 491.075657881
1.3999999999999998e-13 1.01702974901e-18 -4.98663617729e-22 1.01653108539e-18 491.076534922
1.5e-13 1.01703724663e-18 -5.03694800948e-22 1.01653355183e-18 491.077536381
1.6e-13 1.01704515032e-18 -5.09190672559e-22 1.01653595965e-18 491.078651184
1.7e-13 1.01705369644e-18 -5.15176700937e-22 1.01653851974e-18 491.079877575
1.8000000000000002e-13 1.01706291896e-18 -5.21680752756e-22 1.0165412382e-18 491.081215103
1.9000000000000002e-13 1.0170726446e-18 -5.28733270537e-22 1.01654391133e-18 491.082659005
2.0000000000000003e-13 1.01708290766e-18 -5.36367580477e-22 1.01654654008e-18 491.0842063
2.1000000000000004e-13 1.01709374555e-18 -5.44620204282e-22 1.01654912534e-18 491.085855436
2.2000000000000005e-13 1.01710519914e-18 -5.53531210956e-22 1.01655166793e-18 491.087606038
2.3000000000000003e-13 1.01711731319e-18 -5.63144613313e-22 1.01655416857e-18 491.089458738
2.4000000000000004e-13 1.01713013679e-18 -5.7350881441e-22 1.01655662797e-18 491.091415048
2.5000000000000005e-13 1.01714372386e-18 -5.8467710959e-22 1.01655904676e-18 491.093477283
2.6000000000000005e-13 1.01715813375e-18 -5.9670825031e-22 1.0165614255e-18 491.095648501
2.7000000000000006e-13 1.01717343181e-18 -6.09667076352e-22 1.01656376473e-18 491.097932477
2.8000000000000007e-13 1.01718969017e-18 -6.23625223473e-22 1.01656606495e-18 491.100333689
2.900000000000001e-13 1.01720698851e-18 -6.38661913819e-22 1.0165683266e-18 491.102857328
3.000000000000001e-13 1.01722541495e-18 -6.54864836654e-22 1.01657055012e-18 491.105509306
3.100000000000001e-13 1.01724506702e-18 -6.72331126891e-22 1.01657273589e-18 491.108296295
3.200000000000001e-13 1.01726605274e-18 -6.91168448545e-22 1.01657488429e-18 491.111225762
3.300000000000001e-13 1.01728849185e-18 -7.11496189434e-22 1.01657699566e-18 491.114306021
3.400000000000001e-13 1.01731251712e-18 -7.33446771884e-22 1.01657907035e-18 491.117546292
3.500000000000001e-13 1.01733827574e-18 -7.57167081826e-22 1.01658110866e-18 491.120956775
3.6000000000000013e-13 1.01736593092e-18 -7.82820014876e-22 1.0165831109e-18 491.124548723
3.7000000000000014e-13 1.01739566351e-18 -8.10586137308e-22 1.01658507738e-18 491.128334534
3.8000000000000015e-13 1.01742767379e-18 -8.40665423873e-22 1.01658700837e-18 491.132327845
3.9000000000000016e-13 1.01746218325e-18 -8.73279089298e-22 1.01658890416e-18 491.136543638
4.0000000000000016e-13 1.01749943645e-18 -9.08671433223e-22 1.01659076501e-18 491.140998348
4.1000000000000017e-13 1.01753970283e-18 -9.47111648177e-22 1.01659259118e-18 491.145709979
4.200000000000002e-13 1.01758327838e-18 -9.88895495986e-22 1.01659438289e-18 491.150698227
4.300000000000002e-13 1.01763048703e-18 -1.03434671791e-21 1.01659614031e-18 491.155984588
4.400000000000002e-13 1.01768173951e-18 -1.08381797154e-21 1.01659792154e-18 491.161593115
4.500000000000002e-13 1.01773741721e-18 -1.13769108474e-21 1.01659972613e-18 491.167549814
4.600000000000002e-13 1.01779787162e-18 -1.19637608056e-21 1.01660149554e-18 491.17388212
4.700000000000001e-13 1.01786353813e-18 -1.26030867661e-21 1.01660322945e-18 491.180619605
4.800000000000001e-13 1.01793487272e-18 -1.3299454248e-21 1.01660492729e-18 491.187793966
4.9e-13 1.01801234364e-18 -1.4057555388e-21 1.0166065881e-18 491.195438923
5e-13 1.01809641847e-18 -1.48820805506e-21 1.01660821042e-18 491.203590019
5.099999999999999e-13 1.01818754475e-18 -1.57775262181e-21 1.01660979213e-18 491.212284241
5.199999999999999e-13 1.01828612163e-18 -1.67479151116e-21 1.01661133012e-18 491.221559441
5.299999999999999e-13 1.01839245954e-18 -1.77963956279e-21 1.01661281998e-18 491.231453443
5.399999999999998e-13 1.01850672344e-18 -1.89246785273e-21 1.01661425558e-18 491.242002741
5.499999999999998e-13 1.01862885395e-18 -2.01322549112e-21 1.01661562846e-18 491.253240656
5.599999999999997e-13 1.01875845927e-18 -2.14153219873e-21 1.01661692708e-18 491.26519475
5.699999999999997e-13 1.01889466835e-18 -2.27653246017e-21 1.01661813589e-18 491.277883272
5.799999999999996e-13 1.01903593413e-18 -2.41669980979e-21 1.01661923432e-18 491.291310332
5.899999999999996e-13 1.01917977384e-18 -2.55957821944e-21 1.01662019562e-18 491.305459444
